,"Engineering 
Mathematics III
207003","Computer 
Graphics
210251","Advanced Data 
Structures
210252","Microprocessor
210253 ","Principles of Programming Languages 
210254","Computer 
Graphics Lab
210255","Advanced Data 
Structures Lab
210256","Microprocessor 
Lab
210257","Engineering 
Mathematics III
207003.1"
0,77,79,79,63,65,10,20,18,10
1,66,58,47,46,59,9,18,0,8
2,68,64,64,25,45,9,18,12,8
3,58,60,73,30,55,8,18,18,8
4,39,65,63,34,49,9,18,14,9
5,59,73,79,52,59,8,18,16,10
6,42,60,58,30,52,7,0,0,8
7,57,49,57,37,49,9,16,14,9
8,67,67,68,42,59,9,20,20,10
9,42,56,43,31,56,8,16,10,6
10,78,63,67,49,73,8,18,12,8
11,83,79,68,54,75,10,18,20,10
12,56,59,52,43,68,9,14,12,9
13,53,43,49,40,54,0,18,0,9
14,56,72,70,35,59,8,18,20,9
15,82,79,74,70,84,10,20,18,10
16,59,62,59,40,65,9,18,16,9
17,43,55,56,31,51,0,18,0,8
18,54,69,72,48,58,8,20,20,10
19,89,78,72,48,72,8,18,16,10
20,78,70,53,33,74,9,18,16,10
21,63,68,63,29,61,10,20,14,10
22,77,66,60,52,72,8,20,12,10
23,45,58,53,31,48,0,20,14,9
24,51,68,68,44,76,9,20,16,9
25,57,69,63,57,73,0,18,12,9
26,43,53,49,31,49,7,0,12,8
27,63,58,64,30,54,7,16,16,9
28,53,63,61,40,63,9,20,16,10
29,53,61,58,29,51,9,18,12,9
30,52,62,53,52,47,8,14,0,8
31,44,56,45,51,56,8,20,14,8
32,18,42,34,20,55,6,0,0,8
33,85,79,83,50,79,10,20,18,10
34,66,70,62,52,67,10,20,14,10
35,48,68,63,44,53,8,20,14,9
36,36,33,54,23,51,8,16,0,6
37,88,80,81,76,65,10,20,20,10
38,44,67,66,50,57,8,18,14,8
39,32,50,46,50,47,6,18,12,8
40,81,62,52,56,60,9,20,20,10
41,74,69,57,45,58,8,20,14,10
42,26,65,51,40,54,0,12,14,8
43,67,67,56,43,54,9,18,18,8
44,89,64,74,52,61,10,20,20,10
45,49,50,64,64,71,9,18,12,8
46,44,52,48,55,60,8,12,14,8
47,45,65,55,47,61,8,16,16,8
48,61,74,73,49,69,10,16,16,8
49,50,60,51,53,56,7,18,0,8
50,43,69,53,49,67,8,18,14,8
51,28,61,49,49,62,8,20,16,9
52,78,68,75,62,75,10,20,20,10
53,50,67,66,42,69,9,20,18,8
54,59,70,58,48,54,0,18,16,8
55,80,67,63,48,57,8,20,20,9
56,45,62,54,48,66,8,18,18,10
57,61,68,61,40,63,6,16,14,6
58,76,72,73,61,63,9,20,18,10
59,28,40,49,29,53,8,14,16,6
60,42,55,51,48,59,8,18,12,8
61,85,67,69,45,60,9,20,12,9
62,31,53,63,42,63,9,18,18,9
63,37,64,64,51,73,9,20,16,10
64,59,61,57,47,60,8,14,16,8
65,58,61,64,43,53,10,16,20,9
66,53,63,76,70,65,7,20,20,9
67,61,56,46,28,58,8,16,18,7
68,66,61,64,44,66,9,20,20,10
69,11,50,37,33,61,8,16,14,7
70,20,50,56,38,68,8,20,16,9
71,42,52,65,40,58,0,16,16,9
72,97,62,61,47,69,10,20,20,10
73,65,61,68,60,71,10,20,20,10
74,60,68,62,46,73,10,20,18,10
